Individual,#,,PetalLength,PetalWidth,StyleMidWidth,StyleBasalWidth,PistiltLength,PistilWidth,CanalLength,
IT01,1,Dried,53.39,9.60,2.38,3.63,22.04,6.57,10.04,
IT01,2,Dried,65.49,7.19,2.19,3.45,23.67,6.07,10.31,
IT01,3,Dried,59.42,8.09,2.16,2.96,23.21,6.14,9.05,
IT01,4,Dried,59.83,7.78,2.38,3.73,23.09,6.40,10.20,
IT01,5,Dried,63.52,6.92,1.96,2.66,24.91,6.42,9.53,
IT04 #59,6,Dried,43.15,10.89,2.73,4.11,23.87,7.86,7.30,
IT04 #59,7,Dried,40.68,9.74,2.99,5.23,23.83,7.50,7.49,
IT04 #59,8,Dried,41.77,8.60,2.93,4.23,22.99,6.61,8.10,
IT04 #59,9,Dried,46.32,12.44,2.84,4.24,24.71,7.45,7.59,
IT04 #59,10,Dried,35.00,11.98,2.28,4.19,21.24,6.57,6.80,
IT05_100,11,Dried,33.00,11.21,2.41,3.75,23.45,5.94,6.62,
IT05_100,12,Dried,35.55,15.87,1.96,3.35,20.91,6.93,6.30,
IT05_100,13,Dried,34.02,12.98,1.67,2.94,22.22,6.24,6.36,
IT05_100,14,Dried,36.51,12.30,2.21,4.13,24.20,7.24,7.00,
IT05_100,15,Dried,37.62,11.89,2.65,3.16,23.28,6.48,8.67,
IT07_42,16,Dried,36.55,11.78,2.03,4.21,22.45,7.07,9.64,
IT07_42,17,Dried,34.91,13.96,2.42,5.35,23.02,7.46,9.81,
IT07_42,18,Dried,40.22,11.94,2.15,4.76,25.25,6.73,10.09,
IT07_42,19,Dried,39.02,16.14,3.20,5.31,24.27,7.10,9.81,
IT07_42,20,Dried,33.19,12.01,2.69,5.26,22.68,7.34,9.60,
IT08,21,Dried,46.29,6.14,3.01,4.01,20.84,5.06,6.48,
IT08,22,Dried,45.95,8.00,2.53,3.83,22.40,5.51,6.34,
IT08,23,Dried,44.64,7.46,3.04,4.30,21.15,4.84,6.28,
IT08,24,Dried,43.32,7.95,3.97,5.02,20.15,6.03,7.12,
IT08,25,Dried,42.45,7.48,2.78,4.01,21.07,5.23,5.72,
IT09,26,Dried,40.07,10.15,2.76,4.46,21.38,6.73,7.05,
IT09,27,Dried,34.64,10.30,2.12,3.97,20.14,6.12,5.88,
IT09,28,Dried,41.23,10.58,2.50,4.00,21.98,6.21,6.62,
IT09,29,Dried,36.50,8.91,2.90,3.66,20.99,5.91,7.29,
IT09,30,Dried,35.75,9.12,3.17,4.37,19.94,5.87,7.49,
IT11,31,Dried,41.76,10.12,2.46,3.72,25.52,6.33,6.30,
IT11,32,Dried,46.61,12.04,2.38,2.70,21.42,5.41,6.10,
IT11,33,Dried,44.67,8.81,2.21,2.89,25.01,5.34,7.82,
IT11,34,Dried,42.71,10.36,2.71,4.03,22.21,5.10,8.42,
IT16,35,Dried,54.28,9.51,1.67,2.89,20.15,4.91,4.37,
IT16,36,Dried,66.89,9.72,1.84,2.58,19.40,4.11,4.40,
IT16,37,Dried,52.96,10.98,1.34,2.19,21.99,5.32,4.82,
IT18_TV463,38,Dried,34.85,11.60,3.73,4.69,22.55,9.47,7.14,
IT18_TV463,39,Dried,37.62,12.16,2.53,4.51,20.94,6.45,5.99,
IT18_TV463,40,Dried,31.66,10.28,3.65,5.17,22.25,7.53,6.45,
IT18_TV463,41,Dried,36.83,12.51,2.65,3.66,21.88,6.15,6.85,
IT18_TV463,42,Dried,33.50,11.90,3.06,4.81,22.75,7.70,7.01,
IT20_TV1340,43,Dried,43.72,9.49,1.36,3.10,19.97,6.50,5.91,
IT20_TV1340,44,Dried,38.65,12.02,4.19,5.40,21.55,7.12,7.22,
IT20_TV1340,45,Dried,41.24,12.78,3.02,4.50,21.89,7.08,7.11,
IT20_TV1340,46,Dried,41.36,10.13,2.26,3.44,21.78,6.75,6.97,
IT20_TV1340,47,Dried,37.16,11.89,3.18,4.43,22.68,7.35,7.08,
IT21,48,Dried,38.03,11.08,1.57,3.06,21.10,5.82,4.09,
IT21,49,Dried,32.52,7.87,1.58,3.50,22.52,7.06,5.29,
IT21,50,Dried,30.02,8.72,2.92,3.79,21.69,7.15,6.01,
IT21,51,Dried,29.37,9.36,2.51,4.91,21.48,7.90,5.42,
IT21,52,Dried,31.79,11.36,2.57,4.60,22.07,8.28,5.34,
IT22,53,Dried,41.00,12.00,3.00,4.00,19.00,6.00,4.00,
IT22,54,Dried,45.00,12.00,4.00,5.00,19.00,6.00,5.00,
IT22,55,Dried,36.00,11.00,4.00,4.00,19.00,7.00,5.00,
IT22,56,Dried,40.00,13.00,5.00,7.00,21.00,8.00,6.00,
IT22,57,Dried,45.00,9.00,4.00,5.00,19.00,6.00,5.00,
IT22,58,Dried,34.00,8.00,4.00,4.00,17.00,7.00,4.00,
IT24,59,Dried,52.31,7.87,2.38,2.57,20.33,5.85,5.17,
IT24,60,Dried,55.24,10.30,3.43,4.32,24.20,7.17,5.58,
IT24,61,Dried,51.90,8.74,2.63,3.36,20.17,5.49,4.83,
IT24,62,Dried,49.99,8.25,3.70,4.24,23.92,7.37,5.16,
IT24,63,Dried,49.63,7.96,2.68,3.22,21.65,5.95,5.46,
IT25,64,Dried,48.97,10.65,2.20,3.76,21.49,6.22,8.47,
IT25,65,Dried,46.36,9.35,2.79,4.24,21.21,6.28,8.52,
IT25,66,Dried,36.89,9.64,2.79,4.66,22.93,6.74,8.51,
IT25,67,Dried,38.55,9.22,2.22,4.42,22.40,7.57,9.52,
IT25,68,Dried,49.39,9.43,2.61,4.26,24.06,6.03,11.71,
IT26,69,Dried,39.25,13.92,2.22,3.94,22.81,7.51,6.46,
IT26,70,Dried,47.20,9.98,1.48,2.67,22.65,4.76,7.15,
IT26,71,Dried,41.18,10.83,1.48,2.39,22.17,5.74,4.75,
IT26,72,Dried,35.37,9.11,1.89,2.70,24.24,6.66,5.51,
IT26,73,Dried,46.16,11.72,1.79,2.58,23.14,4.82,6.06,
IT29,74,Dried,55.68,9.60,1.08,2.18,20.15,5.43,5.27,
IT29,75,Dried,51.28,10.45,3.09,3.70,22.73,6.61,6.01,
IT29,76,Dried,52.10,10.14,2.68,3.34,19.66,5.96,6.95,
IT29,77,Dried,55.75,12.47,2.10,2.73,18.92,5.10,4.24,
IT29,78,Dried,55.46,10.92,2.58,2.51,18.89,5.00,5.31,
IT30,79,Dried,44.96,9.69,2.75,3.36,23.58,5.65,6.00,
IT30,80,Dried,47.82,10.35,2.33,3.01,22.16,5.57,5.96,
IT30,81,Dried,43.74,11.05,2.83,4.00,27.34,7.98,6.12,
IT30,82,Dried,49.65,13.60,2.36,2.86,23.15,6.22,5.44,
IT36,83,Dried,48.37,12.09,2.28,5.61,22.97,6.90,11.07,
